"id","service_point_id","satisfied","idea","lat","lng","created_at","updated_at","phase2_id","uploaded_at","unique_id","user_id","response_type","is_starred","nlp_extract_adjectives_processed"
45548,54,true,"Provide refreshments during the sessions",NULL,NULL,"2017-11-21 09:56:33.75","2017-11-21 10:27:59.582986",NULL,"2017-11-21 10:27:59.582772",NULL,NULL,"",false,true
45549,54,true,"Provide T shirts to teachers",NULL,NULL,"2017-11-21 10:10:39.29","2017-11-21 10:28:00.480096",NULL,"2017-11-21 10:28:00.480003",NULL,NULL,"",false,true
46669,53,true,"Amazing",NULL,NULL,"2017-11-20 09:21:10.058","2017-11-23 10:19:00.341918",NULL,"2017-11-23 10:19:00.341802",NULL,NULL,"",false,true
48401,54,true,"Support the youth with start up capital for businesses",-0.8405982,30.780843,"2017-11-21 12:58:51.468","2017-11-28 07:45:40.255626",NULL,"2017-11-28 07:45:40.255484",NULL,NULL,"",false,true
48402,54,true,"Do more youth awareness sessions in the community",-0.8405982,30.780843,"2017-11-21 12:53:46.897","2017-11-28 07:45:41.374593",NULL,"2017-11-28 07:45:41.374435",NULL,NULL,"",false,true
48403,54,true,"Support the youth with start up capital for businesses",-0.8405982,30.780843,"2017-11-21 12:59:19.707","2017-11-28 07:45:42.58909",NULL,"2017-11-28 07:45:42.588916",NULL,NULL,"",false,true
48404,54,true,"Engage the youth in income generating activities",NULL,NULL,"2017-11-21 13:02:05.39","2017-11-28 07:45:43.684904",NULL,"2017-11-28 07:45:43.678346",NULL,NULL,"",false,true
48405,54,true,"Engage the youth in income generating activities like tailoring, saloon",NULL,NULL,"2017-11-21 13:01:37.581","2017-11-28 07:45:45.475236",NULL,"2017-11-28 07:45:45.474605",NULL,NULL,"",false,true
48406,54,true,"Engage the youth in income generating activities like tailoring",NULL,NULL,"2017-11-21 13:02:57.678","2017-11-28 07:45:51.335994",NULL,"2017-11-28 07:45:51.335849",NULL,NULL,"",false,true
48407,54,true,"Engage the youth in income generating activities like tailorin",-0.8405982,30.780843,"2017-11-21 12:54:38.79","2017-11-28 07:45:55.339171",NULL,"2017-11-28 07:45:55.339015",NULL,NULL,"",false,true
48408,54,true,"Support the youth with balls and start up capital for saving groups",-0.8405982,30.780843,"2017-11-21 12:57:56.794","2017-11-28 07:45:56.362452",NULL,"2017-11-28 07:45:56.361977",NULL,NULL,"",false,true
48409,54,true,"Engage the youth in income generating activities",NULL,NULL,"2017-11-21 13:02:32.508","2017-11-28 07:46:03.834778",NULL,"2017-11-28 07:46:03.834578",NULL,NULL,"",false,true
48410,54,true,"Employ interpreters for better communication in languages",-0.8405982,30.780843,"2017-11-21 12:47:05.271","2017-11-28 07:46:22.992757",NULL,"2017-11-28 07:46:22.992592",NULL,NULL,"",false,true
48411,54,true,NULL,-0.9386671,30.7523848,"2017-11-22 06:42:27.183","2017-11-28 07:46:23.873061",NULL,"2017-11-28 07:46:23.872935",NULL,NULL,"",false,false
48412,54,true,"Engage the youth in income generating activities",-0.8405982,30.780843,"2017-11-21 12:48:37.142","2017-11-28 07:46:25.156385",NULL,"2017-11-28 07:46:25.156187",NULL,NULL,"",false,true
48413,54,true,"Engage the youth in income generating activities and drama",-0.8405982,30.780843,"2017-11-21 12:52:39.846","2017-11-28 07:46:25.885935",NULL,"2017-11-28 07:46:25.885276",NULL,NULL,"",false,true
48414,54,true,"Engage the youth in income generating activities like tailoring , driving",NULL,NULL,"2017-11-21 13:00:10.178","2017-11-28 07:46:26.628945",NULL,"2017-11-28 07:46:26.6288",NULL,NULL,"",false,true
48415,54,true,"Engage the youth in income generating activities like tailoring",-0.8405982,30.780843,"2017-11-21 12:55:26.414","2017-11-28 07:46:27.198812",NULL,"2017-11-28 07:46:27.198657",NULL,NULL,"",false,true
48416,54,true,"Engage the youth in income generating activities like tailoring",-0.8405982,30.780843,"2017-11-21 12:56:07.917","2017-11-28 07:46:27.955521",NULL,"2017-11-28 07:46:27.955171",NULL,NULL,"",false,true
